0 0, 0 51, 0 102, 0 153, 0 204, 0 255, 0 306, 0 357, 0 408, 0 459, 0 510, 0 561, 0 612, 0 663, 0 714, 0 765, 0 816, 0 867, 0 918, 0 969, 
51 0, 51 51, 51 102, 51 153, 51 204, 51 255, 51 306, 51 357, 51 408, 51 459, 51 510, 51 561, 51 612, 51 663, 51 714, 51 765, 51 816, 51 867, 51 918, 51 969, 
102 0, 102 51, 102 102, 102 153, 102 204, 102 255, 102 306, 102 357, 102 408, 102 459, 102 510, 102 561, 102 612, 102 663, 102 714, 102 765, 102 816, 102 867, 102 918, 102 969, 
153 0, 153 51, 153 102, 153 153, 153 204, 153 255, 153 306, 153 357, 153 408, 153 459, 153 510, 153 561, 153 612, 153 663, 153 714, 153 765, 153 816, 153 867, 153 918, 153 969, 
204 0, 204 51, 204 102, 204 153, 204 204, 204 255, 204 306, 204 357, 204 408, 204 459, 204 510, 204 561, 204 612, 204 663, 204 714, 204 765, 204 816, 204 867, 204 918, 204 969, 
255 0, 255 51, 255 102, 255 153, 255 204, 255 255, 255 306, 255 357, 255 408, 255 459, 255 510, 255 561, 255 612, 255 663, 255 714, 255 765, 255 816, 255 867, 255 918, 255 969, 
306 0, 306 51, 306 102, 306 153, 306 204, 306 255, 306 306, 306 357, 306 408, 306 459, 306 510, 306 561, 306 612, 306 663, 306 714, 306 765, 306 816, 306 867, 306 918, 306 969, 
357 0, 357 51, 357 102, 357 153, 357 204, 357 255, 357 306, 357 357, 357 408, 357 459, 357 510, 357 561, 357 612, 357 663, 357 714, 357 765, 357 816, 357 867, 357 918, 357 969, 
408 0, 408 51, 408 102, 408 153, 408 204, 408 255, 408 306, 408 357, 408 408, 408 459, 408 510, 408 561, 408 612, 408 663, 408 714, 408 765, 408 816, 408 867, 408 918, 408 969, 
459 0, 459 51, 459 102, 459 153, 459 204, 459 255, 459 306, 459 357, 459 408, 459 459, 459 510, 459 561, 459 612, 459 663, 459 714, 459 765, 459 816, 459 867, 459 918, 459 969, 
510 0, 510 51, 510 102, 510 153, 510 204, 510 255, 510 306, 510 357, 510 408, 510 459, 510 510, 510 561, 510 612, 510 663, 510 714, 510 765, 510 816, 510 867, 510 918, 510 969, 
561 0, 561 51, 561 102, 561 153, 561 204, 561 255, 561 306, 561 357, 561 408, 561 459, 561 510, 561 561, 561 612, 561 663, 561 714, 561 765, 561 816, 561 867, 561 918, 561 969, 
612 0, 612 51, 612 102, 612 153, 612 204, 612 255, 612 306, 612 357, 612 408, 612 459, 612 510, 612 561, 612 612, 612 663, 612 714, 612 765, 612 816, 612 867, 612 918, 612 969, 
663 0, 663 51, 663 102, 663 153, 663 204, 663 255, 663 306, 663 357, 663 408, 663 459, 663 510, 663 561, 663 612, 663 663, 663 714, 663 765, 663 816, 663 867, 663 918, 663 969, 
714 0, 714 51, 714 102, 714 153, 714 204, 714 255, 714 306, 714 357, 714 408, 714 459, 714 510, 714 561, 714 612, 714 663, 714 714, 714 765, 714 816, 714 867, 714 918, 714 969, 
765 0, 765 51, 765 102, 765 153, 765 204, 765 255, 765 306, 765 357, 765 408, 765 459, 765 510, 765 561, 765 612, 765 663, 765 714, 765 765, 765 816, 765 867, 765 918, 765 969, 
816 0, 816 51, 816 102, 816 153, 816 204, 816 255, 816 306, 816 357, 816 408, 816 459, 816 510, 816 561, 816 612, 816 663, 816 714, 816 765, 816 816, 816 867, 816 918, 816 969, 
867 0, 867 51, 867 102, 867 153, 867 204, 867 255, 867 306, 867 357, 867 408, 867 459, 867 510, 867 561, 867 612, 867 663, 867 714, 867 765, 867 816, 867 867, 867 918, 867 969, 
918 0, 918 51, 918 102, 918 153, 918 204, 918 255, 918 306, 918 357, 918 408, 918 459, 918 510, 918 561, 918 612, 918 663, 918 714, 918 765, 918 816, 918 867, 918 918, 918 969, 
969 0, 969 51, 969 102, 969 153, 969 204, 969 255, 969 306, 969 357, 969 408, 969 459, 969 510, 969 561, 969 612, 969 663, 969 714, 969 765, 969 816, 969 867, 969 918, 969 969, 
